x,K_baseline,K_windowed
-3.66,1.233622889852e-03,8.569444065213e-05
-3.65,1.279545937900e-03,8.933816986559e-05
-3.6399999999999997,1.327045813651e-03,9.312863614772e-05
-3.63,1.376171376983e-03,9.707138916007e-05
-3.62,1.426972802335e-03,1.011721733881e-04
-3.6100000000000003,1.479501606921e-03,1.054369343806e-04
-3.6,1.533810679324e-03,1.098718251665e-04
-3.59,1.589954308429e-03,1.144832128534e-04
-3.58,1.647988212714e-03,1.192776854111e-04
-3.5700000000000003,1.707969569887e-03,1.242620586462e-04
-3.56,1.769957046863e-03,1.294433833711e-04
-3.55,1.834010830073e-03,1.348289527714e-04
-3.54,1.900192656105e-03,1.404263099785e-04
-3.5300000000000002,1.968565842663e-03,1.462432558494e-04
-3.52,2.039195319842e-03,1.522878569604e-04
-3.51,2.112147661709e-03,1.585684538186e-04
-3.5,2.187491118183e-03,1.650936692968e-04
-3.49,2.265295647200e-03,1.718724172958e-04
-3.48,2.345632947167e-03,1.789139116401e-04
-3.4699999999999998,2.428576489674e-03,1.862276752121e-04
-3.46,2.514201552478e-03,1.938235493291e-04
-3.45,2.602585252725e-03,2.017117033695e-04
-3.44,2.693806580421e-03,2.099026446532e-04
-3.4299999999999997,2.787946432116e-03,2.184072285812e-04
-3.42,2.885087644810e-03,2.272366690408e-04
-3.41,2.985315030053e-03,2.364025490813e-04
-3.4,3.088715408237e-03,2.459168318660e-04
-3.3899999999999997,3.195377643049e-03,2.557918719070e-04
-3.38,3.305392676093e-03,2.660404265874e-04
-3.37,3.418853561639e-03,2.766756679781e-04
-3.3600000000000003,3.535855501508e-03,2.877111949541e-04
-3.35,3.656495880053e-03,2.991610456169e-04
-3.34,3.780874299241e-03,3.110397100300e-04
-3.33,3.909092613795e-03,3.233621432715e-04
-3.3200000000000003,4.041254966395e-03,3.361437788124e-04
-3.31,4.177467822908e-03,3.494005422260e-04
-3.3,4.317840007633e-03,3.631488652341e-04
-3.29,4.462482738532e-03,3.774057000983e-04
-3.2800000000000002,4.611509662433e-03,3.921885343612e-04
-3.27,4.765036890182e-03,4.075154059456e-04
-3.26,4.923183031711e-03,4.234049186170e-04
-3.25,5.086069231013e-03,4.398762578173e-04
-3.24,5.253819200985e-03,4.569492068767e-04
-3.23,5.426559258128e-03,4.746441636092e-04
-3.2199999999999998,5.604418357058e-03,4.929821573008e-04
-3.21,5.787528124828e-03,5.119848660954e-04
-3.2,5.976022895006e-03,5.316746347870e-04
-3.19,6.170039741498e-03,5.520744930251e-04
-3.1799999999999997,6.369718512085e-03,5.732081739395e-04
-3.17,6.575201861637e-03,5.951001331930e-04
-3.16,6.786635284975e-03,6.177755684692e-04
-3.15,7.004167149362e-03,6.412604394015e-04
-3.1399999999999997,7.227948726572e-03,6.655814879528e-04
-3.13,7.458134224516e-03,6.907662592518e-04
-3.12,7.694880818387e-03,7.168431228935e-04
-3.1100000000000003,7.938348681301e-03,7.438412947125e-04
-3.1,8.188701014374e-03,7.717908590362e-04
-3.09,8.446104076226e-03,8.007227914246e-04
-3.08,8.710727211862e-03,8.306689819063e-04
-3.0700000000000003,8.982742880891e-03,8.616622587162e-04
-3.06,9.262326685055e-03,8.937364125454e-04
-3.05,9.549657395020e-03,9.269262213075e-04
-3.04,9.844916976392e-03,9.612674754328e-04
-3.0300000000000002,1.014829061492e-02,9.967970036956e-04
-3.02,1.045996674087e-02,1.033552699584e-03
-3.01,1.078013705242e-02,1.071573548217e-03
-3.0,1.110899653824e-02,1.110899653824e-03
-2.99,1.144674349902e-02,1.151572267786e-03
-2.98,1.179357956795e-02,1.193633817249e-03
-2.97,1.214970973019e-02,1.237127934323e-03
-2.96,1.251534234122e-02,1.282099485865e-03
-2.95,1.289068914400e-02,1.328594603865e-03
-2.94,1.327596528496e-02,1.376660716429e-03
-2.93,1.367138932872e-02,1.426346579382e-03
-2.92,1.407718327157e-02,1.477702308487e-03
